setting,group,step,role,source,n,target,mae,rmse,r2,bias,absolute_error_p95
α=0.50,F-S,0,dev_common,all,200,tavg,0.07648475372002426,0.11730248337466528,0.9890136007151216,0.05417822584348219,0.2774223518555462
α=0.50,F-S,0,dev_common,all,200,delta_t,0.08121747325806541,0.10638990668290359,0.9469461898984404,-0.030325190508437152,0.2387194217979103
α=0.50,F-S,0,dev_common,U,50,tavg,0.09603183176525118,0.133527353153575,0.9881846703572856,0.08170897014088262,0.2701811272164674
α=0.50,F-S,0,dev_common,U,50,delta_t,0.09020090694379093,0.11402704512788878,0.9064967619099116,0.005974380138014218,0.22265094792843848
α=0.50,F-S,0,dev_common,L,50,tavg,0.06753448211070452,0.09935549624800334,0.9924885889575079,0.03473387537700836,0.23139135618094958
α=0.50,F-S,0,dev_common,L,50,delta_t,0.08410945170847435,0.10319540490466513,0.9445431160146516,-0.04692991560401604,0.20179361676533042
α=0.50,F-S,0,dev_common,B,50,tavg,0.12832648975103045,0.16437224605732412,0.9793184206195192,0.10022380220837715,0.3182273648140767
α=0.50,F-S,0,dev_common,B,50,delta_t,0.10935919876150456,0.13854474998467428,0.9437810633003226,-0.06595343625305075,0.2727046268970067
α=0.50,F-S,0,dev_common,P,50,tavg,0.014046211253110914,0.017893755185495772,0.9969899306550932,4.6255647660653484e-05,0.03299252389614864
α=0.50,F-S,0,dev_common,P,50,delta_t,0.04120033561849185,0.04928633292948936,0.9622743185267238,-0.014391790314696028,0.09182935981736923
