relative_path,absolute_path,reader,version,read_status,variable_count,candidate_count,error
IA_test/无优化组/best_result_20251229_005752.mat,C:\Users\26096\Desktop\em\FP\IA_test\无优化组\best_result_20251229_005752.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/无优化组/best_result_20251229_211603.mat,C:\Users\26096\Desktop\em\FP\IA_test\无优化组\best_result_20251229_211603.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/无优化组/best_result_20260103_045247.mat,C:\Users\26096\Desktop\em\FP\IA_test\无优化组\best_result_20260103_045247.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/无优化组/best_result_20260103_182158.mat,C:\Users\26096\Desktop\em\FP\IA_test\无优化组\best_result_20260103_182158.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/无优化组/best_result_20260103_223049.mat,C:\Users\26096\Desktop\em\FP\IA_test\无优化组\best_result_20260103_223049.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/无优化组/best_result_20260104_040203.mat,C:\Users\26096\Desktop\em\FP\IA_test\无优化组\best_result_20260104_040203.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/无优化组/best_result_20260105_011544.mat,C:\Users\26096\Desktop\em\FP\IA_test\无优化组\best_result_20260105_011544.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test_Float/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,97,5,
IA_test_Float/best_result_20260306_174158.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\best_result_20260306_174158.mat,scipy.io,MATLAB v5-v7.2,ok,100,7,
IA_test_Float/trace_all_20260306_174158.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\trace_all_20260306_174158.mat,h5py,MATLAB v7.3/HDF5,ok,112,6,
IA_test_Float/0227 30gen/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0227 30gen\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,97,5,
IA_test_Float/0227 30gen/best_result_20260227_112826.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0227 30gen\best_result_20260227_112826.mat,scipy.io,MATLAB v5-v7.2,ok,100,7,
IA_test_Float/0227 30gen/best_result_20260227_120121.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0227 30gen\best_result_20260227_120121.mat,scipy.io,MATLAB v5-v7.2,ok,100,7,
IA_test_Float/0227 30gen/best_result_20260227_125153.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0227 30gen\best_result_20260227_125153.mat,scipy.io,MATLAB v5-v7.2,ok,100,7,
IA_test_Float/0227 30gen/trace_all_20260227_112826.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0227 30gen\trace_all_20260227_112826.mat,h5py,MATLAB v7.3/HDF5,ok,112,6,
IA_test_Float/0227 30gen/trace_all_20260227_120121.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0227 30gen\trace_all_20260227_120121.mat,h5py,MATLAB v7.3/HDF5,ok,112,6,
IA_test_Float/0227 30gen/trace_all_20260227_125153.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0227 30gen\trace_all_20260227_125153.mat,h5py,MATLAB v7.3/HDF5,ok,112,6,
IA_test_Float/0228 50gen/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0228 50gen\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,97,5,
