sample_id,fem_path,mat_path,match_score,match_status,matching_evidence,conflicting_evidence
SAMPLE_0094,IA_test/12.21 N3G10/w02/case_8b670471-529a-4d49-9e45-f711c972ed03.fem,,11,unmatched,位于父子目录；修改时间相差 9.9 小时,最高候选分低于最低证据阈值
SAMPLE_0095,IA_test/12.21 N3G10/w02/case_9ea14e95-b1d5-4690-b666-91fd603a3230.fem,,16,unmatched,位于父子目录；修改时间相差 26.9 分钟,最高候选分低于最低证据阈值
SAMPLE_0096,IA_test/12.21 N3G10/w02/case_a15f2e35-e60e-4aed-9a5f-94ee4990f15c.fem,,16,unmatched,位于父子目录；修改时间相差 37.5 分钟,最高候选分低于最低证据阈值
SAMPLE_0097,IA_test/12.21 N3G10/w02/case_a7ecd80d-fb62-407c-b380-670fa66c3f66.fem,,11,unmatched,位于父子目录；修改时间相差 3.9 小时,最高候选分低于最低证据阈值
SAMPLE_0098,IA_test/12.21 N3G10/w02/case_b387b2c3-8c37-4860-bddb-cac9004396a6.fem,,11,unmatched,位于父子目录；修改时间相差 4.1 小时,最高候选分低于最低证据阈值
SAMPLE_0099,IA_test/12.21 N3G10/w02/case_bbd260f1-8d6a-4e88-bc2a-800810968b5c.fem,,11,unmatched,位于父子目录；修改时间相差 1.2 小时,最高候选分低于最低证据阈值
SAMPLE_0100,IA_test/12.21 N3G10/w02/case_bc015e21-0860-4f7a-99ed-3a22058d8ee7.fem,,11,unmatched,位于父子目录；修改时间相差 5.1 小时,最高候选分低于最低证据阈值
SAMPLE_0101,IA_test/12.21 N3G10/w02/case_bd182655-75e0-4b80-8bad-90b1cb383d32.fem,,16,unmatched,位于父子目录；修改时间相差 4.2 分钟,最高候选分低于最低证据阈值
SAMPLE_0102,IA_test/12.21 N3G10/w02/case_bf096598-6d7f-40f1-baff-576a499c62f8.fem,,11,unmatched,位于父子目录；修改时间相差 1.9 小时,最高候选分低于最低证据阈值
SAMPLE_0103,IA_test/12.21 N3G10/w02/case_c876b0c1-ceff-482e-9d89-1d2d2ed0610a.fem,,11,unmatched,位于父子目录；修改时间相差 4.9 小时,最高候选分低于最低证据阈值
SAMPLE_0104,IA_test/12.21 N3G10/w02/case_ce520cd2-7cf9-421b-ba62-b8af3d02a342.fem,,11,unmatched,位于父子目录；修改时间相差 6.1 小时,最高候选分低于最低证据阈值
SAMPLE_0105,IA_test/12.21 N3G10/w02/case_cfab5013-eb64-4989-a962-dd508f6cb161.fem,,11,unmatched,位于父子目录；修改时间相差 11.2 小时,最高候选分低于最低证据阈值
SAMPLE_0106,IA_test/12.21 N3G10/w02/case_e4af992a-7c33-4699-bed8-01c1709c43ce.fem,,11,unmatched,位于父子目录；修改时间相差 6.4 小时,最高候选分低于最低证据阈值
SAMPLE_0107,IA_test/12.21 N3G10/w02/case_f101242a-3f2d-456a-82aa-760b9fc8948a.fem,,11,unmatched,位于父子目录；修改时间相差 10.4 小时,最高候选分低于最低证据阈值
SAMPLE_0108,IA_test/12.21 N3G10/w02/case_f1aab01c-3f34-43bd-b140-90988461ff8b.fem,,11,unmatched,位于父子目录；修改时间相差 5.9 小时,最高候选分低于最低证据阈值
SAMPLE_0109,IA_test/12.21 N3G10/w02/case_fea96c20-f768-4d65-83bf-57b62578b9b1.fem,,11,unmatched,位于父子目录；修改时间相差 3.4 小时,最高候选分低于最低证据阈值
SAMPLE_0110,IA_test/12.21 N3G10/w03/blank_inset_9x5_w03.fem,,8,unmatched,位于父子目录,修改时间相差 2.4 天；最高候选分低于最低证据阈值
SAMPLE_0111,IA_test/12.21 N3G10/w03/case_000001.fem,,11,unmatched,位于父子目录；修改时间相差 11.5 小时,最高候选分低于最低证据阈值
SAMPLE_0112,IA_test/12.21 N3G10/w03/case_0110943c-ca16-4544-815a-5016dd1279f1.fem,,11,unmatched,位于父子目录；修改时间相差 10.6 小时,最高候选分低于最低证据阈值
SAMPLE_0113,IA_test/12.21 N3G10/w03/case_07b5eb98-9a38-4771-b597-00e1c31895b2.fem,,11,unmatched,位于父子目录；修改时间相差 9.2 小时,最高候选分低于最低证据阈值
SAMPLE_0114,IA_test/12.21 N3G10/w03/case_0b166cbf-45e8-4aa7-9bcb-a44f87362407.fem,,11,unmatched,位于父子目录；修改时间相差 5.6 小时,最高候选分低于最低证据阈值
SAMPLE_0115,IA_test/12.21 N3G10/w03/case_0be1acca-91d2-4158-98fd-0fd1eb36f24d.fem,,11,unmatched,位于父子目录；修改时间相差 10.8 小时,最高候选分低于最低证据阈值
SAMPLE_0116,IA_test/12.21 N3G10/w03/case_1bb73884-c37c-428d-a599-1a10b170ec9a.fem,,11,unmatched,位于父子目录；修改时间相差 9.8 小时,最高候选分低于最低证据阈值
SAMPLE_0117,IA_test/12.21 N3G10/w03/case_271d3202-ee3a-4537-8732-f53064677824.fem,,11,unmatched,位于父子目录；修改时间相差 3.9 小时,最高候选分低于最低证据阈值
SAMPLE_0118,IA_test/12.21 N3G10/w03/case_2c3e8022-90a4-4ebd-9982-43ab040c88e4.fem,,11,unmatched,位于父子目录；修改时间相差 1.8 小时,最高候选分低于最低证据阈值
SAMPLE_0119,IA_test/12.21 N3G10/w03/case_30613252-6f1a-436a-953b-92a27e8260e4.fem,,11,unmatched,位于父子目录；修改时间相差 6.2 小时,最高候选分低于最低证据阈值
